Locus_ID,Description,GO
Os01g0110800,"Leucine-rich repeat, plant specific containing protein.",Molecular Function: protein binding (GO:0005515)
Os01g0111100,Cyclophilin-like domain containing protein.,"Biological Process: protein folding (GO:0006457), Molecular Function: peptidyl-prolyl cis-trans isomerase activity (GO:0003755)"
Os01g0111300,Conserved hypothetical protein.,
Os01g0111700,Conserved hypothetical protein.,
Os01g0111800 ,Conserved hypothetical protein. ,
Os01g0111900,Glutelin family protein.,
Os01g0112100,Conserved hypothetical protein.,
Os01g0112300,Hypothetical conserved gene.,
Os01g0112500 ,Similar to Plakoglobin/armadillo/beta-catenin-like protein (Fragment). ,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488)"
Os01g0113200,Similar to Receptor serine/threonine kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0113350,Hypothetical conserved gene.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0113400 ,Similar to Receptor-like kinase. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0113500,Similar to Receptor-like kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0114100,Similar to Protein kinase RLK17.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0114300,Similar to Receptor-like protein kinase (Fragment).,
Os01g0114550,Non-protein coding transcript.,
Os01g0115100,Hypothetical conserved gene.,
Os01g0115300,Hypothetical gene.,
Os01g0115600,Similar to LRK14.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0115800,Similar to Receptor-like kinase.,
Os01g0115900,Similar to Receptor-like protein kinase.,
Os01g0116900,"Protein kinase, catalytic domain domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0117050,Non-protein coding transcript.,
Os01g0117100,Similar to Receptor kinase LRK10.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0117200,Similar to ARK protein (Fragment).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0117300,Similar to Receptor kinase LRK10.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0117900 ,"Similar to nodulin-like protein., Similar to Nodulin-like protein 5NG4. ",Cellular Component: membrane (GO:0016020)
Os01g0118000,Similar to Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment).,"Biological Process: glycolysis (GO:0006096), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: fructose-bisphosphate aldolase activity (GO:0004332)"
Os01g0118066,Non-protein coding transcript.,
Os01g0118100,Similar to Fructose-bisphosphate aldolase.,"Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: RNA binding (GO:0003723), Molecular Function: double-stranded RNA binding (GO:0003725), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524)"
Os01g0118300 ,"Similar to Phosphatidyl serine synthase., Phosphatidylserine synthase, Regulation of stem development, Control of cell elongation in uppermost internode ",Biological Process: phosphatidylserine biosynthetic process (GO:0006659)
Os01g0118400,Similar to HGA6.,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os01g0118600,Similar to Hga5 protein.,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os01g0118700,Similar to HGA4.,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os01g0119000 ,"Glycosyltransferase AER61, uncharacterized domain containing protein. ","Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os01g0119050,Non-protein coding transcript.,
Os01g0119100,Similar to Glycosyltransferase.,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"
Os01g0120300,Similar to EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding.,"Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: leucyl-tRNA aminoacylation (GO:0006429), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: leucine-tRNA ligase activity (GO:0004823), Molecular Function: ATP binding (GO:0005524)"
Os01g0120400 ,"Alanyl-tRNA synthetase, class IIc family protein. ","Biological Process: alanyl-tRNA aminoacylation (GO:0006419), Biological Process: tRNA aminoacylation (GO:0043039), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: alanine-tRNA ligase activity (GO:0004813), Molecular Function: ATP binding (GO:0005524), Molecular Function: ligase activity, forming aminoacyl-tRNA and related compounds (GO:0016876)"
Os01g0120500,"Similar to PAP fibrillin domain containing protein, expressed.",
Os01g0120600,"Similar to Oxidoreductase NAD-binding domain containing protein, expressed.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0120700,Similar to sarcoplasmic reticulum histidine-rich calcium-binding protein.,
Os01g0120800 ,"Similar to Eukaryotic translation initiation factor 3 subunit 10 (eIF-3 theta) (Eukaryotic translation initiation factor 3 large subunit) (eIF3a)., Similar to Translation initiation factor 3. ","Molecular Function: protein binding (GO:0005515), "
Os01g0121100 ,Similar to SLL2. ,
Os01g0121300,Conserved hypothetical protein.,
Os01g0121500,Conserved hypothetical protein.,
Os01g0121700,ABC transporter-like domain containing protein.,"Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
Os01g0121800 ,"Glycosyl transferase, family 14 protein., Similar to xylosyltransferase 1. ","Cellular Component: membrane (GO:0016020), Molecular Function: acetylglucosaminyltransferase activity (GO:0008375)"
Os01g0123700,"Zinc finger, RING-type domain containing protein.","Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Biological Process: multicellular organismal development (GO:0007275), Biological Process: protein ubiquitination (GO:0016567), Cellular Component: nucleus (GO:0005634), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0123900,Similar to Bowman-Birk type proteinase inhibitor (EBI).,"Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0124000,Similar to Bowman Birk trypsin inhibitor.,"Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0124100,"Proteinase inhibitor I12, Bowman-Birk family protein.","Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0124200,Similar to Bowman Birk trypsin inhibitor.,
Os01g0124401,Similar to Bowman-Birk type bran trypsin inhibitor.,"Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0124650,Hypothetical conserved gene.,
Os01g0125600,Heavy metal transport/detoxification protein domain containing protein.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)"
Os01g0125800,"Actin-interacting, WD40-repeat protein, Actin turnover",Molecular Function: protein binding (GO:0005515)
Os01g0125900,Ubiquitin-conjugating enzyme/RWD-like domain containing protein.,Molecular Function: acid-amino acid ligase activity (GO:0016881)
Os01g0126200,Multicopper oxidase,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: copper ion binding (GO:0005507), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0126401,Hypothetical gene.,
Os01g0127400,Protein of unknown function DUF3326 domain containing protein.,
Os01g0127450,Similar to MYBL2 (ARABIDOPSIS MYB-LIKE 2); DNA binding / transcription factor.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os01g0127600,Similar to Bowman-Birk type proteinase inhibitor D-II precursor (IV).,"Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0127700,Conserved hypothetical protein.,
Os01g0127900,Mannose-6-phosphate isomerase domain containing protein.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: mannose-6-phosphate isomerase activity (GO:0004476), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0128000,Myb transcription factor domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os01g0128100,Similar to Bifunctional nuclease (Fragment).,"Biological Process: DNA catabolic process (GO:0006308), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: endonuclease activity (GO:0004519), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os01g0128200,Similar to Nuclease I.,"Biological Process: DNA catabolic process (GO:0006308), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: endonuclease activity (GO:0004519), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os01g0128250,Hypothetical gene.,
Os01g0128300,Similar to predicted protein.,
Os01g0128400 ,"Protein of unknown function DUF2359, TMEM214 domain containing protein., Similar to predicted protein. ",
Os01g0128800,Similar to plant synaptotagmin.,
Os01g0129500,Protein of unknown function DUF1666 family protein.,
Os01g0130000 ,"Cation efflux protein family protein., Similar to metal tolerance protein C3. ","Biological Process: cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: cation transmembrane transporter activity (GO:0008324)"
Os01g0130200,Hypothetical conserved gene.,
Os01g0130400,Similar to Alpha-xylosidase precursor (Fragment).,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)"
Os01g0130900,Conserved hypothetical protein.,
Os01g0131450,Hypothetical protein.,
Os01g0131600 ,"Hypothetical conserved gene., Similar to pathogenesis-related transcriptional activator PTI6. ",", Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os01g0131800,Signal peptidase 22 kDa subunit family protein.,"Biological Process: signal peptide processing (GO:0006465), Cellular Component: signal peptidase complex (GO:0005787), Cellular Component: integral to membrane (GO:0016021), Molecular Function: peptidase activity (GO:0008233)"
Os01g0132000,Similar to Wound-induced protease inhibitor (WIP1).,"Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)"
Os01g0132500,Protein of unknown function DUF1639 domain containing protein.,
Os01g0132800,Peptidyl-tRNA hydrolase family protein.,Molecular Function: aminoacyl-tRNA hydrolase activity (GO:0004045)
Os01g0133100 ,"Conserved hypothetical protein., Hypothetical conserved gene. ",
Os01g0133400,Similar to Hexose transporter (Fragment).,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)"
Os01g0133500 ,"Beta-lactamase-like domain containing protein., Similar to predicted protein. ",Molecular Function: hydrolase activity (GO:0016787)
Os01g0134200 ,"Similar to Universal stress protein family protein., Hypothetical conserved gene. ",
Os01g0134500,Similar to Delta-7-sterol-C5(6)-desaturase (EC 1.3.3.-) (Delta-7-C-5 sterol desaturase) (Delta7-sterol-C5-desaturase).,"Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0134900,"(1, 4)-beta-xylan endohydrolase, isoenzyme X-II (EC 3.2.1.8) (Fragment).","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: hydrolase activity, acting on glycosyl bonds (GO:0016798), Molecular Function: cation binding (GO:0043169)"
Os01g0135600,Conserved hypothetical protein.,
Os01g0136400,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0136450,Conserved hypothetical protein.,
Os01g0136500,Conserved hypothetical protein.,
Os01g0136700,Conserved hypothetical protein.,
Os01g0137300,Hypothetical protein.,
Os01g0137700,Conserved hypothetical protein.,
Os01g0137800,Non-protein coding transcript.,
Os01g0137875,Non-protein coding transcript.,
Os01g0138500,Protein of unknown function DUF789 family protein.,
Os01g0138800,Peptidase C26 domain containing protein.,"Biological Process: glutamine metabolic process (GO:0006541), Molecular Function: hydrolase activity (GO:0016787)"
Os01g0138900,Mandelate racemase/muconate lactonizing enzyme family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os01g0139000,Reticulon family protein.,Cellular Component: endoplasmic reticulum (GO:0005783)
Os01g0139200 ,"Octicosapeptide/Phox/Bem1p domain containing protein., Conserved hypothetical protein. ","Molecular Function: protein binding (GO:0005515), "
Os01g0139700,Conserved hypothetical protein.,
Os01g0140100,Peptidase A1 domain containing protein.,"Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)"
Os01g0140400 ,"Similar to leucine-rich repeat protein-related., Leucine-rich repeat, N-terminal domain containing protein. ",", Molecular Function: protein binding (GO:0005515)"
Os01g0140500,Similar to 60S ribosomal protein L26B.,"Biological Process: translation (GO:0006412), Cellular Component: large ribosomal subunit (GO:0015934), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os01g0140700,Similar to RAV2 (REGULATOR OF THE ATPASE OF THE VACUOLAR MEMBRANE); DNA binding / transcription factor.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os01g0141100 ,"Similar to Salt-induced AAA-Type ATPase., Similar to Vacuolar sorting protein 4b. ",", Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
Os01g0141600,Protein of unknown function DUF647 family protein.,
Os01g0141700,Similar to predicted protein.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0141900,Conserved hypothetical protein.,
Os01g0142100 ,"Peptidase M50 family protein., Similar to Metalloendopeptidase. ","Biological Process: proteolysis (GO:0006508), Molecular Function: metalloendopeptidase activity (GO:0004222)"
Os01g0142200,Kinase binding protein CGI-121 domain containing protein.,
Os01g0142300 ,"Glycosyl transferase, group 1 domain containing protein., Sulfoquinovosyltransferase-like enzyme, Flavonoid glycosylation, Regulation of sugar metabolism and seed setting ","Biological Process: biosynthetic process (GO:0009058), "
Os01g0142500,Homeodomain-like containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os01g0142600,Conserved hypothetical protein.,
Os01g0142800 ,"Putative peptide transporter, Long-distance translocation of dimethylarsinate to rice grain, Similar to cDNA clone:J023036E09, full insert sequence (Fragment)., Similar to Peptide transporter. ","Biological Process: transport (GO:0006810), Biological Process: oligopeptide transport (GO:0006857), Molecular Function: transporter activity (GO:0005215), Cellular Component: membrane (GO:0016020), , Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os01g0143100,Adenine nucleotide translocator 1 domain containing protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: mitochondrial inner membrane (GO:0005743), Molecular Function: binding (GO:0005488)"
Os01g0143300,Similar to Glycine-rich protein (Fragment).,Cellular Component: mitochondrial matrix (GO:0005759)
Os01g0143800 ,Mitochondrial glycoprotein family protein. ,Cellular Component: mitochondrial matrix (GO:0005759)
Os01g0143900,Conserved hypothetical protein.,
Os01g0144100,"Similar to Thylakoid lumenal 15 kDa protein, chloroplast precursor (p15).",
Os01g0144700,Conserved hypothetical protein.,
Os01g0145200,Protein of unknown function DUF3681 domain containing protein.,
Os01g0146101,Conserved hypothetical protein.,
Os01g0147700,Region of unknown function XH domain containing protein.,
Os01g0148000,Similar to predicted protein.,"Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: zinc ion binding (GO:0008270)"
Os01g0148500,"Protein of unknown function DUF1677, Oryza sativa family protein.",
Os01g0148700 ,"Protein of unknown function DUF1677, Oryza sativa family protein. ",
Os01g0149350,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)"
Os01g0149500,"NBS-LRR domain-containing protein, Rice blast disease resistance",Molecular Function: ADP binding (GO:0043531)
Os01g0149600,Histon H2B,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein heterodimerization activity (GO:0046982), Cellular Component: nucleosome (GO:0000786)"
Os01g0149800,Metallothionein-like protein type 2.,Molecular Function: metal ion binding (GO:0046872)
Os01g0149900,Conserved hypothetical protein.,
Os01g0150000 ,"Similar to Synaptic glycoprotein SC2., 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal domain containing protein. ","Biological Process: lipid metabolic process (GO:0006629), Cellular Component: cytoplasm (GO:0005737), Cellular Component: integral to membrane (GO:0016021), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)"
Os01g0150200 ,"Protein-tyrosine phosphatase-like, PTPLA domain containing protein. ",
Os01g0150900,Conserved hypothetical protein.,
Os01g0150950,Conserved hypothetical protein.,
Os01g0151100,HSP20-like chaperone domain containing protein.,
Os01g0151200 ,"Similar to Inner membrane protein ALBINO3, chloroplast precursor. Splice isoform 2., Similar to inner membrane protein ALBINO3. ","Biological Process: protein insertion into membrane (GO:0051205), Cellular Component: integral to membrane (GO:0016021)"
Os01g0151400,Similar to Gamma-glutamyl transferase.,Molecular Function: gamma-glutamyltransferase activity (GO:0003840)
Os01g0151500,Similar to GGT4 (GAMMA-GLUTAMYL TRANSPEPTIDASE 4); gamma-glutamyltransferase/ glutathione gamma-glutamylcysteinyltransferase.,Molecular Function: gamma-glutamyltransferase activity (GO:0003840)
Os01g0151600,Conserved hypothetical protein.,
Os01g0151700,Similar to Short-chain dehydrogenase Tic32.,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0151900,Pentatricopeptide repeat domain containing protein.,
