id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
16,Os12g0481100,,,,19.8266547508209,3452,Purple,14.5822081131781,"Similar to cDNA clone:J033010C22, full insert sequence.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",['DNA.synthesis/chromatin structure'],LOC_Os12g29660
17,Os02g0697200,,,,20.303707237603,3346,Purple,14.402084127541,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os02g46956
18,Os03g0735300,,,OsAlba3,20.8570980338992,3241,Purple,14.384932273313,"Alba, DNA/RNA-binding protein family protein., Hypothetical conserved gene.","Molecular Function: nucleic acid binding (GO:0003676),",['RNA.regulation of transcription.putative transcription regulator'],LOC_Os03g52490
19,Os01g0268300,,,,37.3763850845652,1413,Purple,14.0164741964856,"Similar to DNA gyrase B subunit., Similar to DNA gyrase subunit B, chloroplastic/mitochondrial.","Biological Process: DNA topological change (GO:0006265), Cellular Component: chromosome (GO:0005694), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA topoisomerase (ATP-hydrolyzing) activity (GO:0003918), Molecular Function: ATP binding (GO:0005524)",['DNA.synthesis/chromatin structure'],LOC_Os01g16290
20,Os05g0567400,,,,18.455654561498,3731,Purple,13.9852276273227,Ribosomal RNA methyltransferase J domain containing protein.,"Biological Process: RNA methylation (GO:0001510), Biological Process: rRNA processing (GO:0006364), Biological Process: methylation (GO:0032259), Cellular Component: nucleus (GO:0005634), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: methyltransferase activity (GO:0008168)",['RNA.regulation of transcription.putative transcription regulator'],LOC_Os05g49230
21,Os11g0568600,,,,31.8245818318002,1826,Purple,13.940983034293,"THUMP domain containing protein., Similar to THUMP domain containing protein.",,['not assigned.unknown'],LOC_Os11g36060
22,Os07g0203300,,,,27.8527749337101,2229,Purple,13.8161575667047,"Nucleic acid-binding, OB-fold domain containing protein.","Biological Process: RNA processing (GO:0006396), Biological Process: mRNA processing (GO:0006397), Cellular Component: intracellular (GO:0005622), Cellular Component: nucleus (GO:0005634), Molecular Function: RNA binding (GO:0003723), Molecular Function: binding (GO:0005488)",['not assigned.unknown'],LOC_Os07g10350
23,Os01g0253300,,,alpha1a,28.7788825268413,2113,Purple,13.6188036882538,Importin alpha-1a subunit.,"Biological Process: protein import into nucleus (GO:0006606), Biological Process: intracellular protein transport (GO:0006886), Cellular Component: nucleus (GO:0005634), Cellular Component: cytoplasm (GO:0005737), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: protein transporter activity (GO:0008565)",['protein.targeting.nucleus'],LOC_Os01g14950
24,Os05g0557800,,Ribosome,,22.279001052786,3007,Purple,13.6004419142433,"Similar to 50S ribosomal protein L21., Similar to 50S ribosomal protein L21, mitochondrial precursor.","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L21'],LOC_Os05g48410
25,Os06g0244100,,,,21.5507117845187,3121,Purple,13.5430295731428,"Tetratricopeptide-like helical domain containing protein., Hypothetical conserved gene.",,['not assigned.unknown'],LOC_Os06g13570
26,Os11g0525700,,,,19.0930396939022,3609,Purple,13.4923584197054,Development and cell death domain domain containing protein.,,['cell.cell death'],LOC_Os11g32270
27,Os08g0422600,,,SAD1,26.7547918788672,2360,Purple,13.483160834665,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os08g32690
28,Os01g0966300,,,,38.7035881510535,1312,Purple,13.4199614632775,Similar to Mitochondrial processing peptidase.,"Biological Process: proteolysis (GO:0006508), Molecular Function: catalytic activity (GO:0003824), Molecular Function: metalloendopeptidase activity (GO:0004222), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: metal ion binding (GO:0046872)",['protein.targeting.mitochondria'],LOC_Os01g73550
29,Os01g0837500,,,,24.2103591997889,2715,Purple,13.3488624388152,"Similar to Ruvbl1 protein., Similar to DNA helicase, TBP-interacting protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA helicase activity (GO:0003678), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: DNA helicase activity (GO:0003678), Molecular Function: ATP binding (GO:0005524)",['development.unspecified'],LOC_Os01g62040
30,Os03g0831100,,,,20.2557252487267,3355,Purple,13.1075695494544,Armadillo-like helical domain containing protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: binding (GO:0005488)",['not assigned.unknown'],LOC_Os03g61560
31,Os01g0951000,,mRNA surveillance pathway,OsFY,35.0844866769837,1567,Purple,13.0227351999184,"Conserved hypothetical protein., Similar to WD-repeat protein 33.",,['RNA.processing'],LOC_Os01g72220
32,Os07g0455100,,,S7,32.42805025453,1776,Purple,12.7266254868071,"Tetratricopeptide repeat domain containing protein, Control of Aus-japonica/indica hybrid female sterility",Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os07g27180
33,Os02g0234800,,Spliceosome,,27.4915074001242,2266,Purple,12.6678831987636,Similar to U2 small nuclear ribonucleoprotein A' (U2 snRNP-A').,Molecular Function: protein binding (GO:0005515),['RNA.processing'],LOC_Os02g13990
34,Os02g0710800,,Homologous recombination,,24.7015259253629,2648,Purple,12.6590410158813,Similar to ATP binding / ATP-dependent DNA helicase/ ATP-dependent helicase/ helicase/ nucleic acid binding.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",['DNA.unspecified'],LOC_Os02g48100
35,Os02g0497500,,"Homologous recombination, Non-homologous end-joining",,16.3714547693812,4252,Purple,12.6560350781794,Similar to DNA repair protein Rad50.,", Biological Process: DNA repair (GO:0006281), Molecular Function: nuclease activity (GO:0004518), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)",['DNA.repair'],LOC_Os02g29464
36,Os03g0349000,,RNA transport,,15.6965556390391,4431,Purple,12.5814989736857,Nucleoporin interacting component family protein.,"Biological Process: transport (GO:0006810), Cellular Component: nuclear pore (GO:0005643)",['protein.targeting.nucleus'],LOC_Os03g22690
37,Os10g0154600,,RNA transport,,20.5260842307572,3311,Purple,12.4586700962312,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os10g06610
38,Os09g0246200,,,OsRpoTm,16.7029950973022,4148,Purple,12.2832152675542,Similar to DNA-directed RNA polymerase.,"Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899)",['RNA.transcription'],LOC_Os09g07120
39,Os03g0775300,,,,18.7745932169983,3670,Purple,12.2468884668301,Flavodoxin/nitric oxide synthase domain containing protein.,"Molecular Function: catalytic activity (GO:0003824), Molecular Function: iron-sulfur cluster binding (GO:0051536)",['not assigned.unknown'],LOC_Os03g56390
40,Os03g0201700,,,,24.2196417203285,2713,Purple,12.2216593702371,Histone acetylation protein 2 domain containing protein.,,['not assigned.unknown'],LOC_Os03g10460
41,Os08g0155000,,Ribosome biogenesis in eukaryotes,,20.8542840291682,3242,Purple,12.1232404054604,"Similar to predicted protein., Brix domain containing protein.","Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: ATP binding (GO:0005524)",['protein.synthesis.misc ribosomal protein.BRIX'],LOC_Os08g05880
42,Os03g0728800,,,,20.6624081759808,3280,Purple,11.8328177422481,"Similar to RNA helicase (Fragment)., Similar to cDNA clone:J013129E17, full insert sequence.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026),",['DNA.synthesis/chromatin structure'],LOC_Os03g51900
43,Os09g0509000,,,OsMORF8b,16.644935023289,4176,Purple,11.7718123779609,Similar to DAG protein.,,['development.unspecified'],LOC_Os09g33480
44,Os07g0606500,,,,23.6459753172615,2797,Purple,11.7415839507783,"Hypothetical conserved gene., Similar to ATP-dependent RNA helicase, eIF-4A family.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",['DNA.synthesis/chromatin structure'],"LOC_Os07g41564, LOC_Os07g41570"
45,Os08g0175300,,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair, Homologous recombination",OsPOLP1,14.3096555618267,4807,Purple,11.7350509627642,"PolI-like DNA polymerase., Similar to PolI-like DNA polymerase.","""Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Biological Process: DNA replication (GO:0006260), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed DNA polymerase activity (GO:0003887), Molecular Function: 3-5 exonuclease activity (GO:0008408)\n"", Biological Process: DNA replication (GO:0006260), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed DNA polymerase activity (GO:0003887)",['DNA.synthesis/chromatin structure'],LOC_Os08g07840
46,Os05g0417100,,,"OsDeg10, OsDegP7, TCM5",27.0494387816443,2324,Purple,11.4860257112307,"Chloroplast-targeted Deg protease protein, Chloroplast development and maintenance of PSII function under high temperatures","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: protein binding (GO:0005515)",['protein.degradation.serine protease'],LOC_Os05g34460
47,Os03g0853800,,,,24.6143429648989,2659,Purple,11.4294563762296,"Protein of unknown function DUF1301 family protein., Similar to predicted protein.",,['not assigned.unknown'],LOC_Os03g63680
48,Os01g0814000,,mRNA surveillance pathway,,15.3763750434041,4512,Purple,11.3130715612583,"Nuclear fragile X mental retardation-interacting protein 1, conserved domain domain containing protein.",,['not assigned.unknown'],LOC_Os01g59860
49,Os11g0585700,,Ribosome,,19.9340735466747,3424,Purple,11.0252212563936,Similar to 50S ribosomal protein L4.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L4'],LOC_Os11g37510
50,Os05g0227700,,,,40.3818935405459,1211,Purple,11.0219495823278,Similar to Eukaryotic translation initiation factor 3 subunit 6-interacting protein.,,['not assigned.unknown'],LOC_Os05g13950
51,Os03g0111800,,,,15.0402489341859,4608,Purple,10.9461310503099,WD40/YVTN repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),['signalling.G-proteins'],LOC_Os03g02110
52,Os06g0281400,,,,21.1629532747931,3195,Purple,10.9312283562824,Similar to DNA topoisomerase.,"Biological Process: DNA topological change (GO:0006265), Cellular Component: chromosome (GO:0005694), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA topoisomerase activity (GO:0003916), Molecular Function: DNA topoisomerase type I activity (GO:0003917)",['DNA.synthesis/chromatin structure'],LOC_Os06g16980
53,Os05g0509300,,,,13.8336815438175,4968,Purple,10.9064974517812,"Pseudouridine synthase, TruD domain containing protein.","Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)",['not assigned.unknown'],LOC_Os05g43374
54,Os04g0466700,,,,20.6372731213658,3289,Purple,10.8822698322379,Armadillo-type fold domain containing protein.,Molecular Function: binding (GO:0005488),['not assigned.unknown'],LOC_Os04g39220
55,Os01g0957900,,,,17.7000684200858,3892,Purple,10.8776952195358,Armadillo-type fold domain containing protein.,Molecular Function: binding (GO:0005488),['RNA.regulation of transcription.unclassified'],LOC_Os01g72780
56,Os03g0115200,,,,22.5015081844287,2968,Purple,10.8448403469568,"Similar to Partner of Nob1; Pno1p; Yor145cp like KH domain containing protein, transcripts identified by EST.",Molecular Function: RNA binding (GO:0003723),['not assigned.unknown'],LOC_Os03g02420
57,Os03g0134300,,"Histidine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids",,15.9700034095744,4360,Purple,10.6450111832039,Similar to ATP phosphoribosyl transferase.,"Biological Process: histidine biosynthetic process (GO:0000105), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: ATP phosphoribosyltransferase activity (GO:0003879)",['amino acid metabolism.synthesis.histidine.ATP phosphoribosyl transferase'],LOC_Os03g04169
58,Os07g0600400,,,OsWD40-147,26.5273929788492,2389,Purple,10.6001114923008,WD40/YVTN repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os07g40930
59,Os04g0497600,,,,16.8882151594531,4096,Purple,10.5906504648249,"Lupus La protein family protein., Non-protein coding transcript.","Biological Process: RNA processing (GO:0006396), Cellular Component: nucleus (GO:0005634), Cellular Component: ribonucleoprotein complex (GO:0030529), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: RNA binding (GO:0003723),",['RNA.regulation of transcription.unclassified'],LOC_Os04g42010
60,Os03g0172000,,RNA transport,,25.1360835396024,2591,Purple,10.5697779210306,"Peptidase S59, nucleoporin family protein., Similar to predicted protein.","Biological Process: transport (GO:0006810), Cellular Component: nuclear pore (GO:0005643),",['protein.targeting.nucleus'],LOC_Os03g07580
61,Os05g0596600,,,,24.0127243614978,2748,Purple,10.5605787596888,Similar to SMC5 protein.,,['cell.division'],LOC_Os05g51790
62,Os04g0625300,,,,18.2757003938429,3771,Purple,10.5282028333552,Similar to OSIGBa0148A10.3 protein.,,,LOC_Os04g53380
63,Os07g0517000,,,,16.5958448252143,4194,Purple,10.5213443393697,"DNA/RNA helicase, C-terminal domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524)",['DNA.synthesis/chromatin structure'],LOC_Os07g33340
64,Os02g0122400,,,,31.1224018401568,1883,Purple,10.4669202098017,Similar to Plastid division protein.,Molecular Function: heat shock protein binding (GO:0031072),['stress.abiotic.heat'],LOC_Os02g03000
65,Os08g0207600,,,,21.5511887398528,3120,Purple,10.403361625382,"Similar to GTP-binding protein., Similar to GTP-binding protein (ERG).","Cellular Component: intracellular (GO:0005622), Molecular Function: RNA binding (GO:0003723), Molecular Function: GTP binding (GO:0005525),",['signalling.G-proteins'],LOC_Os08g10649
66,Os03g0225500,,RNA transport,NUP133,27.210642222092,2300,Purple,10.3354026656593,"Nucleoporin, Common symbiosis signaling (SYM) pathway, Nucleoporin, Nup133/Nup155-like, N-terminal domain containing protein.",Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os03g12450
67,Os01g0679000,,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase",,18.282675779653,3768,Purple,10.2370727564679,"RNA polymerase III Rpc82, C -terminal domain containing protein., Hypothetical conserved gene.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899)",['RNA.transcription'],LOC_Os01g48720
68,Os03g0187000,,,,22.6488104943245,2950,Purple,10.1076653175836,Similar to EMB514.,"Biological Process: amine metabolic process (GO:0009308), Molecular Function: copper ion binding (GO:0005507), Molecular Function: quinone binding (GO:0048038)",['not assigned.unknown'],LOC_Os03g08810
69,Os05g0295100,,,,13.6163141771588,5035,Purple,10.0400626953593,"Hypothetical conserved gene., Protein of unknown function DUF1253 family protein.",Cellular Component: nucleus (GO:0005634),['not assigned.unknown'],LOC_Os05g22920
70,Os02g0139200,,RNA transport,OsPRMT5,33.8745804951357,1653,Purple,9.98642503702797,Skb1 methyltransferase family protein.,"Cellular Component: cytoplasm (GO:0005737), Molecular Function: methyltransferase activity (GO:0008168)",['C1-metabolism'],LOC_Os02g04660
71,Os04g0592700,,Ribosome biogenesis in eukaryotes,OsWD40-108,11.9671580220503,5579,Purple,9.97177799812454,WD40 repeat-like domain containing protein.,"Biological Process: rRNA processing (GO:0006364), Cellular Component: small-subunit processome (GO:0032040), Molecular Function: protein binding (GO:0005515)",['development.unspecified'],LOC_Os04g50660
72,Os06g0565000,,,,14.5276538002702,4742,Purple,9.96388982221388,Hypothetical conserved gene.,Molecular Function: binding (GO:0005488),"['RNA.regulation of transcription', 'development.unspecified']",LOC_Os06g36910
73,Os06g0546400,,,,37.5532486209306,1395,Purple,9.91767134277276,Similar to 50S ribosomal protein L1.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",['protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L1'],LOC_Os06g35470
74,Os02g0150600,,,,35.2645126995034,1556,Purple,9.91163325318326,Similar to Pyridine nucleotide-disulphide oxidoreductase (Fragment).,,['not assigned.unknown'],LOC_Os02g05686
75,Os02g0550700,,RNA degradation,,15.7288717486912,4421,Purple,9.8580221717238,Similar to Nucleolar autoantigen-like protein.,"Biological Process: RNA processing (GO:0006396), Molecular Function: RNA binding (GO:0003723)",['RNA.processing.ribonucleases'],LOC_Os02g34570
76,Os03g0598200,,,,12.8899274345063,5281,Purple,9.82150593063716,Nop14-like protein family protein.,,['not assigned.unknown'],LOC_Os03g40110
77,Os09g0475700,,,,27.0769035087344,2320,Purple,9.82099499583644,"Peptidase S9A, prolyl oligopeptidase family protein., Similar to protease 2.","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: protein binding (GO:0005515), Molecular Function: serine-type peptidase activity (GO:0008236), Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: serine-type peptidase activity (GO:0008236)",['protein.degradation'],LOC_Os09g29950
78,Os06g0644600,,Ribosome biogenesis in eukaryotes,OsWD40-131,22.1223211576275,3028,Purple,9.76485004892653,Similar to predicted protein.,"Biological Process: rRNA processing (GO:0006364), Cellular Component: small-subunit processome (GO:0032040), Molecular Function: protein binding (GO:0005515)",['not assigned.unknown'],LOC_Os06g43690
79,Os01g0199900,,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,16.8815267345561,4100,Purple,9.7572825603975,Similar to Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21) (AIR carboxylase) (AIRC).,"Biological Process: 'de novo' IMP biosynthetic process (GO:0006189), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoribosylaminoimidazole carboxylase activity (GO:0004638), Molecular Function: ATP binding (GO:0005524), Molecular Function: ligase activity (GO:0016874), Molecular Function: metal ion binding (GO:0046872)",['nucleotide metabolism.synthesis.purine.AIR carboxylase'],LOC_Os01g10280
80,Os01g0221100,,Plant hormone signal transduction,"OsGH3-3, OsGH3.3, OsJAR2",17.8812602243573,3849,Purple,9.6080456517169,GH3 auxin-responsive promoter family protein.,,['hormone metabolism.auxin.induced-regulated-responsive-activated'],LOC_Os01g12160
81,Os11g0610900,,Aminoacyl-tRNA biosynthesis,TSCD11,14.0199929885666,4904,Purple,9.37716154629823,"Similar to Seryl-tRNA synthetase (EC 6.1.1.11) (Fragment)., Hypothetical conserved gene.","Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: seryl-tRNA aminoacylation (GO:0006434), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: serine-tRNA ligase activity (GO:0004828), Molecular Function: ATP binding (GO:0005524), Biological Process: seryl-tRNA aminoacylation (GO:0006434), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: serine-tRNA ligase activity (GO:0004828), Molecular Function: ATP binding (GO:0005524)",['protein.aa activation.serine-tRNA ligase'],LOC_Os11g39670
82,Os04g0620700,,,OsNUC1-S,14.8580680434779,4657,Purple,9.28447883695624,"Nucleolin-like protein, Salt stress response, Hypothetical conserved gene.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","['protein.synthesis.ribosomal RNA', 'signalling.G-proteins']",LOC_Os04g52960
83,Os04g0585300,,,,18.9154651255487,3646,Purple,9.22986481803598,Similar to H0307D04.2 protein.,,['not assigned.unknown'],LOC_Os04g49580
84,Os06g0634600,,Protein processing in endoplasmic reticulum,,13.4232188919545,5097,Purple,9.14701029510334,SEP domain containing protein.,Molecular Function: protein binding (GO:0005515),['protein.degradation'],LOC_Os06g42810
85,Os07g0563700,,,CUR1,11.5284889878549,5744,Purple,9.06257817108344,IKI3 family protein.,Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os07g37640
86,Os06g0116600,,,OsMORF2a,46.5782334180165,929,Purple,9.05523082214153,"Proteinase inhibitor, propeptide domain containing protein.",,['development.unspecified'],LOC_Os06g02600
87,Os02g0826100,,,,20.3955833497238,3330,Purple,9.0249381777001,Similar to RNA helicase (Fragment).,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",['RNA.processing.RNA helicase'],LOC_Os02g57980
88,Os02g0120900,,,,20.4097035529,3329,Purple,8.91827372087175,Tetrahydrofolate dehydrogenase/cyclohydrolase family protein.,"Biological Process: folic acid-containing compound biosynthetic process (GO:0009396), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)",['C1-metabolism.Methylenetetrahydrofolate dehydrogenase & Methenyltetrahydrofolate cyclohydrolase'],LOC_Os02g02850
