id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
21,Os04g0666900,,,,78.9787362159023,2087,Salmon,25.3550146330408,Similar to H1005F08.22 protein.,"Biological Process: microtubule-based movement (GO:0007018), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: cytoskeleton (GO:0005856), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: catalytic activity (GO:0003824), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",['cell.organisation'],LOC_Os04g57140
22,Os01g0656200,,"MAPK signaling pathway - plant, Plant hormone signal transduction",OsPP2C8,85.6115618815009,1850,Salmon,25.2018772010919,Protein phosphatase 2C family protein.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)",['protein.postranslational modification'],LOC_Os01g46760
23,Os02g0754100,,,,83.1227123566054,1930,Salmon,25.1221088555776,Similar to S1 self-incompatibility locus-linked pollen G211 protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: ribonuclease activity (GO:0004540)",['RNA.processing.ribonucleases'],LOC_Os02g51780
24,Os01g0521400,,,,76.3755012277859,2181,Salmon,24.2142503654499,Similar to lipase family protein.,Biological Process: lipid metabolic process (GO:0006629),['lipid metabolism.lipid degradation.lipases'],LOC_Os01g33784
25,Os07g0687900,,Galactose metabolism,"OsGolS2, wsi76, WSI76, OsGolS1",65.9018488106158,2586,Salmon,23.8983937184757,WSI76 protein induced by water stress.,,['minor CHO metabolism.raffinose family.galactinol synthases.putative'],LOC_Os07g48830
26,Os01g0772400,,,OsSTA34,196.053629831158,149,Salmon,23.479074445863,Streptomyces cyclase/dehydrase family protein.,,['not assigned.unknown'],LOC_Os01g56560
27,Os02g0766700,bZIP,Plant hormone signal transduction,"BZIP23, OsbZIP23, OsAREB1, OsABF2, Osbzip23, OsAREB2",88.9991069625148,1742,Salmon,23.3960039548544,"bZIP transcription factor, Regulation of ABA signaling and biosynthesis, Drought resistance","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)",['hormone metabolism.abscisic acid.signal transduction'],LOC_Os02g52780
28,Os03g0125100,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites","DSM2, OsBCH1, OsHYD3",55.2658101604138,3093,Salmon,23.2921329252247,"Beta-carotene hydroxylase, Drought and oxidative stress resistance","Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491)",['not assigned.unknown'],LOC_Os03g03370
29,Os01g0767600,,,,99.4487672034946,1437,Salmon,23.085943656936,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g56180
30,Os12g0582800,,,OsOSCA2.4,153.870204951649,480,Salmon,22.9566410814543,Protein of unknown function DUF221 domain containing protein.,Cellular Component: membrane (GO:0016020),['stress.abiotic.drought/salt'],LOC_Os12g39320
31,Os01g0583100,,"MAPK signaling pathway - plant, Plant hormone signal transduction",OsABI2|OsPP2C06|OsABIL1,79.892680497802,2051,Salmon,22.9119590151137,Similar to Protein phosphatase 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)",['protein.postranslational modification'],LOC_Os01g40094
32,Os05g0566800,,,Oscor413-tm1,65.4410340351077,2606,Salmon,22.8251623989431,Cold acclimation protein COR413-TM1.,,['stress.abiotic.cold'],LOC_Os05g49170
33,Os01g0149800,,,MT2A,81.2965000084025,2004,Salmon,22.7100923560034,Metallothionein-like protein type 2.,Molecular Function: metal ion binding (GO:0046872),"['metal handling.binding, chelation and storage']",LOC_Os01g05650
34,Os11g0546900,,,OsGF14d,121.017971615408,950,Salmon,22.2493444880171,Similar to TaWIN1.,Molecular Function: protein domain specific binding (GO:0019904),['signalling.14-3-3 proteins'],LOC_Os11g34450
35,Os06g0691400,,,,95.1593098936472,1561,Salmon,22.2446284241222,Similar to IAA-amino acid conjugate hydrolase-like protein (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)",['hormone metabolism.auxin.synthesis-degradation'],LOC_Os06g47620
36,Os07g0108800,,,"TPKB, TPKb, OsTPKb",114.362669282319,1087,Salmon,21.8183776831772,"Two-pore K+ channel family protein, K+ homeostasis, Osmotic and drought tolerance","Biological Process: polysaccharide catabolic process (GO:0000272), Biological Process: potassium ion transmembrane transport (GO:0071805), Molecular Function: potassium channel activity (GO:0005267), Cellular Component: membrane (GO:0016020)",['transport.potassium'],LOC_Os07g01810
37,Os05g0466800,,,,189.820529697005,175,Salmon,21.5180514979584,Similar to CTD small phosphatase-like protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: phosphatase activity (GO:0016791)",['protein.targeting.unknown'],LOC_Os05g39070
38,Os03g0231150,HD-ZIP,,,61.0759635172588,2800,Salmon,21.4143727812179,Similar to Hox19 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)","['RNA.regulation of transcription.HB,Homeobox transcription factor family']",LOC_Os03g12860
39,Os09g0400600,,,,169.688803277101,321,Salmon,21.0765547569592,Hypothetical protein.,,['not assigned.unknown'],LOC_Os09g23595
40,Os12g0631200,,,,59.6641771264474,2874,Salmon,21.025734822041,"Zinc finger, C6HC-type domain containing protein., Similar to ubiquitin-protein ligase/ zinc ion binding protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: zinc ion binding (GO:0008270)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os12g43560
41,Os06g0635200,,,,98.7575259605686,1454,Salmon,20.9218555311276,Protein of unknown function DUF3537 domain containing protein.,,"['RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os06g42850
42,Os01g0138500,,,,34.2089538657203,4633,Salmon,20.5102842285807,Protein of unknown function DUF789 family protein.,,['not assigned.unknown'],LOC_Os01g04590
43,Os04g0442700,,,,107.507471650215,1223,Salmon,20.4683308661788,Hypothetical gene.,,,None
44,Os06g0139800,,,,70.3056535794024,2411,Salmon,19.9185912612523,Similar to Acid phosphatase (EC 3.1.3.2) 1 allozyme 1.,Molecular Function: acid phosphatase activity (GO:0003993),['misc.acid and other phosphatases'],LOC_Os06g04790
45,Os09g0555500,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",OsPSY3,50.3756272574563,3365,Salmon,19.5968531178361,Similar to Chloroplast phytoene synthase 3.,"Biological Process: biosynthetic process (GO:0009058), Molecular Function: transferase activity (GO:0016740), Molecular Function: transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)",['secondary metabolism.isoprenoids.carotenoids.phytoene synthase'],LOC_Os09g38320
46,Os07g0668900,,,,105.243870285916,1283,Salmon,19.5234027413877,Similar to Serine/threonine-protein kinase PBS1 (EC 2.7.1.37) (AvrPphB susceptible protein 1).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os07g47270
47,Os01g0605700,,,SWEET6B,126.025841156622,865,Salmon,19.3629600106013,MtN3 and saliva related transmembrane protein family protein.,Cellular Component: integral to membrane (GO:0016021),['development.unspecified'],LOC_Os01g42090
48,Os12g0112000,,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",,48.545200356477,3478,Salmon,19.3109046398444,Similar to Peroxidase precursor (EC 1.11.1.7) (Fragment).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",['misc.peroxidases'],LOC_Os12g02080
49,Os04g0466600,,"Arginine and proline metabolism, Metabolic pathways",,77.4968222718721,2138,Salmon,19.2807782614569,Agmatine deiminase domain containing protein.,"Biological Process: putrescine biosynthetic process (GO:0009446), Molecular Function: agmatine deiminase activity (GO:0047632)",['polyamine metabolism.synthesis.agmatine deiminase'],LOC_Os04g39210
50,Os03g0586700,,,PALD,140.725966383128,649,Salmon,19.2643864225714,Conserved hypothetical protein.,,['protein.postranslational modification'],LOC_Os03g38970
51,Os02g0824500,,,,69.5515321874543,2436,Salmon,18.7304663720745,Similar to Remorin.,,"['RNA.regulation of transcription.putative transcription regulator', 'RNA.regulation of transcription.unclassified']",LOC_Os02g57840
52,Os01g0105900,,,DNL-4,56.5107418164655,3028,Salmon,17.9878170335937,Carbohydrate/purine kinase domain containing protein.,,['minor CHO metabolism.others'],LOC_Os01g01620
53,Os01g0559000,,,,77.8382455067669,2123,Salmon,17.9367642940361,"Protein of unknown function DUF1000 family protein., Similar to Thioredoxin family Trp26.",,['not assigned.unknown'],LOC_Os01g37832
54,Os07g0635900,,,OsLti6a,36.7649567956023,4394,Salmon,17.6605743763617,Hydrophobic protein LTI6A (Low temperature-induced protein 6A).,Cellular Component: integral to membrane (GO:0016021),['not assigned.unknown'],LOC_Os07g44180
55,Os04g0605500,,,"ACA11, osACA11, OsACA6, OsACA5",45.3643713396059,3676,Salmon,17.5144063108699,"P-type IIB Ca(2+) ATPase, Stress tolerance, Similar to Calcium-transporting ATPase 8, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 8)., Similar to P-type ATPase (Fragment).","Biological Process: calcium ion transmembrane transport (GO:0070588), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: calmodulin binding (GO:0005516), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872), Cellular Component: membrane (GO:0016020), Cellular Component: integral component of membrane (GO:0016021), Biological Process: ATP biosynthetic process (GO:0006754), Biological Process: cation transport (GO:0006812), Biological Process: metabolic process (GO:0008152), Biological Process: calcium ion transmembrane transport (GO:0070588), Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: calmodulin binding (GO:0005516), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: metal ion binding (GO:0046872), Biological Process: ATP biosynthetic process (GO:0006754), Biological Process: cation transport (GO:0006812), Biological Process: metabolic process (GO:0008152), Biological Process: calcium ion transmembrane transport (GO:0070588), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)",['signalling.calcium'],LOC_Os04g51610
56,Os09g0323000,,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways",OsUGE4,116.223953675977,1043,Salmon,17.3590455100691,"Similar to UDP-galactose 4-epimerase-like protein., Similar to UDP-D-glucose epimerase 2.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662), Biological Process: galactose metabolic process (GO:0006012), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978)",['cell wall.precursor synthesis.UGE'],LOC_Os09g15420
57,Os01g0626400,WRKY,,"WRKY11, OsWRKY11.2",112.636113467403,1118,Salmon,17.1858950249453,"WRKY transcription factor, Control of flowering time and plant height, WRKY transcription factor, Splicing variant","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)",['RNA.regulation of transcription.WRKY domain transcription factor family'],LOC_Os01g43650
58,Os03g0425300,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system",,47.3622243541242,3563,Salmon,17.0289749520523,"Similar to DGK1 (DIACYLGLYCEROL KINASE1); calcium ion binding / diacylglycerol kinase., Similar to Diacylglycerol kinase 1 (EC 2.7.1.107) (Diglyceride kinase 1) (DGK 1) (DAG kinase 1).","Biological Process: intracellular signal transduction (GO:0035556), Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)",['lipid metabolism.Phospholipid synthesis.diacylglycerol kinase'],LOC_Os03g31180
59,Os09g0422600,,,,89.5509798281597,1721,Salmon,16.9576033117514,Protein of unknown function DUF566 family protein.,,['not assigned.unknown'],LOC_Os09g25500
60,Os03g0747900,,,"OsMyoXIE-1, OsMyoXIE",49.0531056349603,3456,Salmon,16.9523364071239,Similar to Myosin heavy chain class XI E1 protein.,"Cellular Component: myosin complex (GO:0016459), Molecular Function: motor activity (GO:0003774), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)",['cell.organisation'],LOC_Os03g53660
61,Os02g0823300,,,,90.2546582806068,1700,Salmon,16.6913722280717,"Similar to Neuralized protein., Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os02g57750
62,Os07g0614100,,Proteasome,OsPAA2,58.301607451749,2946,Salmon,16.6898125252833,Alpha 1-2 subunit of 20S proteasome.,"Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Biological Process: proteolysis involved in cellular protein catabolic process (GO:0051603), Cellular Component: proteasome core complex (GO:0005839), Cellular Component: proteasome core complex, alpha-subunit complex (GO:0019773), Molecular Function: endopeptidase activity (GO:0004175), Molecular Function: threonine-type endopeptidase activity (GO:0004298)",['protein.degradation.ubiquitin.proteasom'],LOC_Os07g42260
63,Os10g0479100,,,,55.942717288569,3061,Salmon,16.6604838318686,Non-protein coding transcript.,,,None
64,Os07g0559400,,,,87.0637440819231,1801,Salmon,16.488082172469,Similar to uncharacterized secreted protein.,,['not assigned.unknown'],LOC_Os07g37310
65,Os07g0633200,,Spliceosome,,148.612541098474,557,Salmon,16.445443340785,"Similar to SC35-like splicing factor SCL30a, 30a kD.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",['RNA.processing.splicing'],LOC_Os07g43950
66,Os01g0783200,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system",,50.6595429356743,3343,Salmon,16.3334113496296,Similar to Diacylglycerol kinase.,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)",['lipid metabolism.Phospholipid synthesis.diacylglycerol kinase'],LOC_Os01g57420
67,Os04g0623300,,"Arginine and proline metabolism, beta-Alanine metabolism","PAO3, OsPAO3, OsAO3, AO3",67.2769991080569,2531,Salmon,16.2175587982796,"Polyamine oxidase, Seed germination, Similar to H0215F08.3 protein.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)","['misc.oxidases - copper, flavone etc.']","LOC_Os04g53190, LOC_Os04g53195"
68,Os05g0122800,,,OsTET7,54.232512514682,3140,Salmon,16.0787934658004,"Tetraspanin domain containing protein., Similar to senescence-associated protein.",Cellular Component: integral to membrane (GO:0016021),['development.unspecified'],LOC_Os05g03140
69,Os04g0448950,,,,44.0270221735585,3782,Salmon,16.0549517356023,Similar to H0818E04.7 protein.,,,None
70,Os03g0719400,,"Glycerolipid metabolism, Metabolic pathways",,55.1469662166122,3101,Salmon,15.7952879680943,Alpha/beta hydrolase fold-1 domain containing protein.,,['lipid metabolism.lipid degradation.lipases'],LOC_Os03g51010
71,Os06g0147000,,,,25.5721384059963,5685,Salmon,15.6603605279467,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os06g05430
72,Os12g0168100,,,ERF124,78.0531494911317,2113,Salmon,15.5044977495465,Similar to AP2 domain containing protein RAP2.6 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",['not assigned.unknown'],LOC_Os12g07030
73,Os08g0128200,,,,49.2876522081708,3437,Salmon,15.4961109157723,Protein of unknown function DUF3537 domain containing protein.,,"['RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os08g03430
74,Os07g0581000,,,OsUGT3,69.3345957861166,2445,Salmon,14.9551019134178,Protein of unknown function DUF250 domain containing protein.,,['transport.sugars'],LOC_Os07g39280
75,Os08g0110600,,,,77.1897671662981,2149,Salmon,14.5833076439458,Protein of unknown function DUF1442 domain containing protein.,,['not assigned.unknown'],LOC_Os08g01910
76,Os03g0341300,,,SWEET16,31.4027885710851,4968,Salmon,14.3702347833921,Similar to Cytochrome c oxidoreductase.,Cellular Component: integral to membrane (GO:0016021),['development.unspecified'],LOC_Os03g22200
77,Os09g0543100,,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Endocytosis",PLDdelta1,51.6646133040743,3284,Salmon,14.1441774735072,"Similar to predicted protein., Similar to Phospholipase D nu-2 (Fragment).","Molecular Function: protein binding (GO:0005515), Biological Process: metabolic process (GO:0008152), Biological Process: phosphatidylcholine metabolic process (GO:0046470), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515),",['lipid metabolism.lipid degradation.lysophospholipases.phospholipase D'],LOC_Os09g37100
78,Os08g0425700,,,,76.811156499283,2163,Salmon,14.0470552907157,Similar to Annexin-like protein.,"Molecular Function: calcium ion binding (GO:0005509), Molecular Function: calcium-dependent phospholipid binding (GO:0005544)",['cell.organisation'],LOC_Os08g32970
79,Os06g0275800,,,,85.7966412412313,1844,Salmon,13.9168056974642,"Amino acid transporter, transmembrane domain containing protein.",,['transport.amino acids'],LOC_Os06g16420
80,Os09g0272000,,,,33.1890578964614,4751,Salmon,13.8457782941534,Heavy metal transport/detoxification protein domain containing protein.,,['not assigned.unknown'],LOC_Os09g09930
81,Os06g0232000,,,,71.5127255036652,2359,Salmon,13.772938363718,"Similar to Pro-resilin., Hypothetical conserved gene.",,['not assigned.unknown'],LOC_Os06g12580
82,Os03g0849800,,,,55.0116337309779,3109,Salmon,13.6632922856365,"Nucleotide-diphospho-sugar transferase domain containing protein., Hypothetical conserved gene.",,['not assigned.unknown'],LOC_Os03g63270
83,Os01g0787400,,,,50.6937818601971,3342,Salmon,13.5627280291403,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g57740
84,Os03g0316200,,Galactose metabolism,OsGolS1,22.0761384024452,6201,Salmon,13.1268548505562,Similar to Galactinol synthase (Fragment).,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)",['minor CHO metabolism.raffinose family.galactinol synthases.putative'],LOC_Os03g20120
85,Os03g0419100,,,,34.4356286684189,4617,Salmon,12.9035047451278,Protein of unknown function DUF1675 family protein.,,['protein.targeting.nucleus'],LOC_Os03g30570
86,Os01g0575000,,,,75.2483535021627,2222,Salmon,12.8878409367803,"Root hair defective 3 GTP-binding family protein., Similar to Root hair defective 3 GTP-binding protein.","Molecular Function: hydrolase activity, acting on acid anhydrides (GO:0016817)",['development.unspecified'],LOC_Os01g39310
87,Os12g0620400,,,OsMBD707,53.9134488038047,3159,Salmon,12.6980589701757,"Methyl-CpG DNA binding domain containing protein., Similar to Brain acid soluble protein 1 (Fragment).","Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA binding (GO:0003677),",['RNA.regulation of transcription.Methyl binding domain proteins'],LOC_Os12g42550
88,Os03g0326500,,,,42.6312454880759,3889,Salmon,12.5987040174354,Similar to Thioredoxin-like 1.,"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)",['redox.thioredoxin'],LOC_Os03g21000
89,Os01g0686700,,,,39.6462420943262,4144,Salmon,12.5838053134587,Similar to protein binding protein.,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os01g49280
90,Os01g0955000,,"Inositol phosphate metabolism, Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",OsNPC2,24.8699088936957,5785,Salmon,12.4468043470674,"Phosphoesterase family protein., Similar to phosphoesterase family protein.",", Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)",['lipid metabolism.lipid degradation.lysophospholipases'],LOC_Os01g72520
91,Os03g0386000,,,"SRWD5, SRWD5, OsWD40-73",24.4607460785309,5850,Salmon,12.3260934044398,"Similar to Salt-responsive WD40 protein 5., WD40 subfamily protein, Salt stress",", Molecular Function: protein binding (GO:0005515)",['development.unspecified'],LOC_Os03g26870
92,Os07g0195200,,,,51.5174890426909,3293,Salmon,12.120621479454,Similar to ZG10 (Fragment).,"Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: sugar binding (GO:0005529), Molecular Function: galactosyltransferase activity (GO:0008378)","['cell wall.hemicellulose synthesis', 'misc.UDP glucosyl and glucoronyl transferases']",LOC_Os07g09690
