id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day,FC_3day,pval_3day,REG_3day
10,Os03g0250000,Conserved hypothetical protein.,,,,,86.2226930804512,1831,Salmon,34.5342159372419,['signalling.calcium'],LOC_Os03g14590,-0.448296923470284,0.026884259586168,,-1.77988762740853,3.08E-20,Down,-2.07372979615709,2.28E-27,Down,-1.83092854484733,1.77E-22,Down,-2.12819489217237,1.19E-40,Down,-1.97719954964069,8.86E-26,Down
11,Os10g0498500,Epoxide hydrolase-like domain containing protein.,Molecular Function: catalytic activity (GO:0003824),,,,2.32608866149926,11743,Brown,2.04216887639305,['misc.misc2'],LOC_Os10g35540,-0.37542922867568,0.599850225748076,,0.319582455808802,0.671561947926777,,0.155224226053202,0.840485517774902,,2.31931507131445,1.25E-07,Up,1.02745455474044,0.025572354324057,Up,1.17308775188777,0.026131682394864,Up
12,Os04g0504000,Similar to Adenine phosphoribosyltransferase form 2.,Biological Process: nucleoside metabolic process (GO:0009116),OsAPT2,"Purine metabolism, Metabolic pathways, Nucleotide metabolism",,15.2129144259546,7471,Pink,9.49517924709375,['nucleotide metabolism.salvage.phosphoribosyltransferases.aprt'],LOC_Os04g42520,1.49559274299504,5.43E-18,Up,1.29742214509503,2.15E-13,Up,1.21672185052232,4.30E-12,Up,1.72078185191637,4.19E-24,Up,1.12315811123915,7.19E-13,Up,0.71322638861252,0.000196319608967,
13,Os02g0755900,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,,146.672434363559,577,Turquoise,136.215528637945,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os02g51930,-2.43976989442191,0.0096007404047,Down,-1.40678270113059,0.15448284873518,,-1.84452834937079,0.049886273370624,Down,-2.16342547480233,0.021964454206585,Down,0.108752049135778,0.928259530868767,,-1.76847536237519,0.070642183314891,
14,Os05g0456500,"Uncharacterised protein family UPF0497, trans-membrane plant domain containing protein., Similar to predicted protein.",,,,,23.4379504447397,5998,Blue,13.0099913307995,['not assigned.unknown'],LOC_Os05g38250,-1.22983378231544,0.02358507529846,Down,-1.54846863781481,0.008596931133397,Down,-1.90288499593659,0.000876170095374,Down,-1.87670039470548,0.000863181518976,Down,-1.1888153743411,0.008985684383625,Down,-0.647295900643855,0.308722774250396,
15,Os03g0223000,"Similar to atypical receptor-like kinase MARK., Similar to Atypical receptor-like kinase MARK.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,39.2697549418434,4179,Magenta,24.3127104695886,['not assigned.unknown'],"LOC_Os03g12238, LOC_Os03g12250",-1.27302049058242,0.015544890309067,Down,-1.77974439957643,0.000679013771697,Down,-1.99420966015622,9.44E-05,Down,-1.64241377768861,0.001488614348076,Down,-0.75749571888011,0.147413149938917,,-0.659603966390576,0.306249553342527,
16,Os04g0618200,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)",,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars",,88.6165580820017,1758,Turquoise,82.3645893712991,['cell wall.precursor synthesis.MUR4'],LOC_Os04g52730,2.11346808692439,2.78E-22,Up,1.32822655349669,5.32E-09,Up,1.17904502275021,2.35E-07,Up,0.412108992220173,0.129562375060744,,0.34097337354116,0.183354349346161,,0.370868864610135,0.214283352266506,
17,Os11g0215100,Plant disease resistance response protein family protein.,,,,,65.7599421439104,2594,Blue,46.5036737070016,['stress.biotic'],LOC_Os11g10870,-1.58533845582877,0.004145170514032,Down,-2.19013154291528,0.000395380614751,Down,-2.93934567126747,4.95E-06,Down,-2.18702280775165,0.000148590230169,Down,-0.636845521865319,0.235925419761791,,-1.61715194980903,0.004354212097924,Down
18,Os01g0805300,"Mog1/PsbP, alpha/beta/alpha sandwich domain containing protein.","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem II (GO:0009523), Cellular Component: oxygen evolving complex (GO:0009654), Cellular Component: extrinsic to membrane (GO:0019898), Molecular Function: calcium ion binding (GO:0005509)",,,,103.883938894684,1307,Blue,90.4919922288901,['PS.lightreaction.photosystem II.PSII polypeptide subunits'],LOC_Os01g59090,-1.95798322501207,2.26E-08,Down,-1.81187318468642,3.85E-07,Down,-1.63304108289875,2.94E-06,Down,-0.348162649616935,0.419276950180913,,-0.696499832131407,0.040643619461204,,-1.36600839392336,0.000140924690442,Down
19,Os03g0439700,Protein of unknown function DUF1230 family protein.,,,,,101.966186738022,1366,Green,47.2324890470961,['not assigned.unknown'],LOC_Os03g32490,-1.53659433807268,9.18E-07,Down,-3.0305595000717,2.60E-22,Down,-3.2610141784957,5.55E-26,Down,-4.25067188258524,2.45E-40,Down,-1.49686414892479,6.34E-08,Down,-1.81319933013891,7.02E-09,Down
20,Os08g0530400,"Moco containing protein (Moco containing protein(OsMCP))., Similar to sulfite oxidase.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872)",OsMCP,"Sulfur metabolism, Metabolic pathways",,108.011555475611,1210,Green,32.9476363285532,['S-assimilation.sulfite oxidase'],LOC_Os08g41830,-0.682688114504261,0.014852311110423,,-1.73299545579139,1.58E-11,Down,-1.62358019870715,2.30E-10,Down,-1.69989333611133,3.07E-11,Down,-0.752055224035982,0.002620081934218,,-0.70794278384076,0.015706485075486,
21,Os03g0599000,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: protein binding (GO:0005515), Molecular Function: ADP binding (GO:0043531)",,,,1.65273072069433,12172,Turquoise,1.08496843556139,['stress.biotic.PR-proteins'],LOC_Os03g40194,2.14677622487467,4.29E-05,Up,1.36526554877572,0.01660778686171,Up,1.64970370512794,0.00233433244398,Up,1.15367084177227,0.047812519062133,Up,0.211627127424498,0.784903413438762,,0.738768188724419,0.291492822423052,
22,Os03g0200200,Conserved hypothetical protein.,,,,,123.539065013553,907,Red,38.859145071789,['not assigned.unknown'],LOC_Os03g10320,2.28325550765373,4.47E-12,Up,1.9556839834262,2.98E-08,Up,2.14601891607564,1.57E-10,Up,2.36925346558664,4.29E-13,Up,2.20517872805547,1.31E-13,Up,1.94615077169609,1.27E-08,Up
23,Os07g0503500,"UDP-glucuronosyl/UDP-glucosyltransferase family protein., UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",UGT707A3,,,93.5301689697594,1597,Magenta,34.4891691709211,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os07g32020,-2.4179630494736,0.002007078092883,Down,-2.13581734487919,0.0079096233327,Down,-2.99436742130121,0.000146972246198,Down,-2.10596094340726,0.007650185907157,Down,-0.831974277871749,0.321640755802655,,-0.577307402308339,0.597503973484586,
24,Os02g0590700,"Hypothetical gene., Conserved hypothetical protein.",,,,,15.1644420896593,7481,Green,3.38692806696779,,None,-0.597899365379661,0.294853673189275,,-0.77532934758039,0.187940679365429,,-1.4935751449495,0.00596431154484,Down,-1.35886785830836,0.01175442387738,Down,-0.5306205682689,0.321071321386045,,-0.415946990277044,0.547849520771067,
25,Os10g0419600,Chlorophyllase family protein.,"Biological Process: chlorophyll catabolic process (GO:0015996), Biological Process: lipid catabolic process (GO:0016042), Cellular Component: intracellular membrane-bounded organelle (GO:0043231), Molecular Function: 1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847), Molecular Function: chlorophyllase activity (GO:0047746)",OsCHL,"Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,6.02418034705013,9988,Black,1.95383890538021,['tetrapyrrole synthesis.unspecified'],LOC_Os10g28370,-0.212147094707028,0.672466589711183,,-1.48482434176387,0.000446741587071,Down,-0.734791551987282,0.085568588550683,,-1.1877387346398,0.00366266385625,Down,-0.357725455923169,0.42250512825424,,-1.33613135663295,0.001213550193386,Down
26,Os04g0676300,Similar to H0101F08.3 protein.,"Biological Process: 'de novo' pyrimidine base biosynthetic process (GO:0006207), Biological Process: UMP biosynthetic process (GO:0006222), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: dihydroorotate dehydrogenase activity (GO:0004152), Molecular Function: dihydroorotate oxidase activity (GO:0004158)",,"Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors",,58.1504578207771,2952,Brown,56.0913192028135,['nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase'],LOC_Os04g57950,0.316191037904024,0.458128594744403,,1.08069255193392,0.001829716810444,Up,0.929914953601591,0.007458408073448,,1.22286864946248,0.000211883887161,Up,0.347392509640707,0.3726195256623,,0.054755842332461,0.935766729360864,
27,Os05g0533450,Conserved hypothetical protein.,,,,,32.129528787424,4872,Purple,8.76573158529,['not assigned.unknown'],LOC_Os05g45700,-2.98472116993952,0.016587983896857,Down,-4.40388331271144,0.022393187806119,Down,-4.68347776560123,0.010568306693825,Down,-2.73125590332144,0.028667707107444,Down,-1.93613930585279,0.041963683047378,Down,-2.28923468982382,0.062799595343105,
28,Os07g0179300,Methyltransferase type 11 domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: methyltransferase activity (GO:0008168)",,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors",,11.1379938115879,8410,Purple,5.49407461029675,['secondary metabolism.isoprenoids.tocopherol biosynthesis.MPBQ/MSBQ methyltransferase'],LOC_Os07g08200,-3.02237954402235,0.000464848759805,Down,-2.94237860519431,0.00196885758277,Down,-2.43148937117016,0.003766504464208,Down,-1.72099669737913,0.032487697706813,Down,-1.52097290423871,0.024326330951356,Down,-1.58079522410831,0.058659638240187,
29,Os01g0161300,Hypothetical conserved gene.,Molecular Function: protein binding (GO:0005515),,,,1.93124731809127,11974,Green,1.11037972084668,['stress.biotic.PR-proteins'],LOC_Os01g06790,-1.4871657747615,0.12409150136976,,-2.89362331014061,0.021023022283902,Down,-4.78061692923356,0.006297332606927,Down,-3.88920445265198,0.004535407689538,Down,-2.33895011116844,0.002942943255086,Down,-3.25419254558275,0.005876368419539,Down
30,Os05g0561600,Protein of unknown function DUF1421 domain containing protein.,,,,,21.6685812027607,6274,Purple,13.5339421830051,['cell wall.cell wall proteins.HRGP'],LOC_Os05g48760,-1.86380177466663,1.48E-21,Down,-2.69945722348193,1.56E-41,Down,-2.95275419202789,7.72E-50,Down,-3.62847796446026,4.34E-71,Down,-1.81971953013571,1.69E-26,Down,-1.68210133778848,1.11E-17,Down
31,Os09g0477900,NusB/RsmB/TIM44 domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: rRNA processing (GO:0006364), Molecular Function: RNA binding (GO:0003723), Molecular Function: methyltransferase activity (GO:0008168), Molecular Function: rRNA methyltransferase activity (GO:0008649)",,,,53.2632740997562,3197,Black,9.09997831394579,['RNA.RNA binding'],LOC_Os09g30100,-0.997925297109481,0.00137671341447,,-1.26234135897623,8.02E-05,Down,-1.52727488897443,9.12E-07,Down,-0.631061556003295,0.054943040756006,,-0.629301120177275,0.028199243364144,,-0.981491452051333,0.002142614985965,
32,Os12g0634000,Conserved hypothetical protein.,,,,,34.5144487953706,4604,LightGreen,1.83162442228257,['not assigned.unknown'],LOC_Os12g43750,0.673508817093534,0.144561172390297,,1.44709908568143,0.000369835948318,Up,1.72277640080434,4.73E-06,Up,1.57916825119883,3.62E-05,Up,1.30122834916534,0.000177467599723,Up,0.936905072912985,0.036730000975398,
33,Os03g0831500,"Similar to Phosphoribosylformylglycinamidine cyclo-ligase, chloroplast/mitochondrial precursor (EC 6.3.3.1) (AIRS) (Phosphoribosyl-aminoimidazole synthetase) (AIR synthase) (VUpur5).","Biological Process: 'de novo' IMP biosynthetic process (GO:0006189), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)",,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,115.536397779238,1060,Brown,114.397708624868,['nucleotide metabolism.synthesis.purine.AIR synthase'],LOC_Os03g61600,-1.15181028543142,0.0042261872148,Down,0.62951530239143,0.109641193814882,,1.00860416753803,0.003457303936223,Up,2.03798704799395,4.57E-11,Up,0.708330527602609,0.030389501659291,,0.650715315712114,0.103522786869115,
34,Os04g0454200,Similar to Monosaccharide transporter 1.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)",OsSTP18,,,86.9920813170217,1805,Magenta,38.5854686171888,['transport.sugars'],LOC_Os04g38220,-2.3278787228356,0.003716563384323,Down,-1.8919396198544,0.022797758146863,Down,-2.89109567335408,0.000397668106786,Down,-2.83789252767948,0.000479835473097,Down,-1.20573076349594,0.118033198253038,,-1.81027598084632,0.033593220748839,Down
35,Os01g0731100,Similar to Pathogen-related protein.,,,,,8.41426801301105,9205,Pink,7.3889501798699,,LOC_Os01g53090,4.83154980076666,2.06E-64,Up,4.39825474062274,1.06E-52,Up,3.88422761064557,3.91E-41,Up,2.94199787269193,2.52E-23,Up,3.81950330873725,1.96E-47,Up,1.92022869087648,1.23E-09,Up
36,Os01g0734466,Similar to NAD(P)H oxidase (Fragment).,"Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",OsNOX2,"MAPK signaling pathway - plant, Plant-pathogen interaction",,22.2964420702732,6163,Salmon,4.80281850240567,['stress.biotic.respiratory burst'],LOC_Os01g53294,-0.128751958215643,0.862330559727302,,-1.396415237614,0.018673521079112,Down,-1.65135745390805,0.003907578038336,Down,-2.22279916704431,0.000120693570117,Down,-1.49247677640569,0.002097713976603,Down,-1.11441990999146,0.070437492375491,
37,Os09g0439200,"Jasmonate ZIM-domain protein, Jasmonate-induced resistance to bacterial blight, Repressor of jasmonic acid signaling",,"TIFY10C, OsJAZ7, OsJAZ 8, OsJAZ8, Os-JAZ8, JAZ8, OsTIFY10c, OsTIFY10c/OsJAZ8",Plant hormone signal transduction,,21.307198123587,6333,Salmon,5.43778711399535,"['RNA.regulation of transcription.C2C2(Zn) CO-like, Constans-like zinc finger family']",LOC_Os09g26780,-1.72008941922237,0.007206376916186,Down,-3.24565978793724,3.35E-05,Down,-3.23617184497283,1.00E-05,Down,-2.21713214135532,0.000697262062615,Down,-3.00968399420284,2.01E-08,Down,-3.21248441039045,5.43E-06,Down
38,Os06g0597000,"Similar to Auxin responsive protein IAA-Re., Similar to Auxin-responsive protein IAA23.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)",OsIAA23,Plant hormone signal transduction,,53.4201544317255,3186,Yellow,36.4296274302934,['RNA.regulation of transcription.Aux/IAA family'],LOC_Os06g39590,0.207492925806586,0.756397964166375,,-2.00430249273069,0.005436148926298,Down,-1.56246726873626,0.013247090470328,Down,-1.7802690596941,0.004777190707057,Down,-1.27666059712569,0.007185042638691,Down,-0.625709033418236,0.360876809695709,
39,Os09g0359800,"Similar to Arginine methyltransferase pam1 (Pam1)., Similar to cDNA clone:J013102P20, full insert sequence.","Biological Process: protein methylation (GO:0006479), Cellular Component: cytoplasm (GO:0005737), Molecular Function: protein methyltransferase activity (GO:0008276),",OsPRMT1,,,101.581249115802,1377,Brown,96.7540738044244,['misc.O-methyl transferases'],LOC_Os09g19560,-1.13832182515098,7.44E-05,Down,0.991550480873483,6.52E-05,,1.22806804342476,1.64E-07,Up,1.40520636997116,9.61E-10,Up,0.526733514394797,0.026557551796167,,0.555727168973805,0.048202202213936,
40,Os03g0115500,"""Similar to pyridoxine 5-phosphate oxidase-related."", FMN-binding split barrel-related domain containing protein.","Biological Process: pyridoxine biosynthetic process (GO:0008615), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: pyridoxamine-phosphate oxidase activity (GO:0004733), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)",,"Vitamin B6 metabolism, Metabolic pathways, Biosynthesis of cofactors",,98.7583445490624,1452,Blue,73.6554005300864,['not assigned.unknown'],LOC_Os03g02450,-0.731718290178947,0.021044837109019,,-1.6430133372979,3.49E-07,Down,-1.64421057625607,1.26E-07,Down,-1.16967093134236,0.00014944996598,Down,-1.11514518568629,1.98E-05,Down,-1.41010735663265,5.05E-06,Down
41,Os10g0208500,"Hypothetical protein., Oxoglutarate/iron-dependent oxygenase domain containing protein., Hypothetical conserved gene.",", Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)",,,,1.94406838266099,11961,Red,0.67608745488683,['not assigned.unknown'],LOC_Os10g14180,-0.33299952204129,0.550725740118765,,1.74203079520291,5.15E-05,Up,1.89316556362457,7.61E-06,Up,0.94214609895178,0.045243894348281,,0.760994756518078,0.089496369693876,,1.16546531466779,0.013785839790548,Up
42,Os03g0805100,Similar to Squalene synthase (EC 2.5.1.21).,"Biological Process: lipid biosynthetic process (GO:0008610), Biological Process: biosynthetic process (GO:0009058), Cellular Component: integral to membrane (GO:0016021), Molecular Function: farnesyl-diphosphate farnesyltransferase activity (GO:0004310), Molecular Function: transferase activity (GO:0016740), Molecular Function: transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)",SQS,"Steroid biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",,70.4710395554816,2402,Turquoise,59.8567614669718,"[""lipid metabolism.''exotics'' (steroids, squalene etc).squalene synthase""]",LOC_Os03g59040,1.03601634041624,0.009422230639941,Up,1.26490315025206,0.001234402604355,Up,0.719593605920108,0.090253278107165,,0.451832488840735,0.339446062346223,,0.604960629376391,0.136121057795859,,1.16516548688121,0.004240005660087,Up
43,Os07g0170200,Similar to predicted protein.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: endonuclease activity (GO:0004519)",,,,1.70781297847694,12129,Turquoise,1.2327247760982,['DNA.synthesis/chromatin structure'],LOC_Os07g07480,-0.37381309936694,0.338329922157314,,0.874353876697109,0.00927615897357,,1.32981679555851,2.03E-05,Up,0.413403661989194,0.283781690974511,,-0.825819328723417,0.007239055535523,,-1.26751749501871,0.000251463000831,Down
44,Os07g0573900,Hypothetical conserved gene.,,AGP27,,,43.0467520800928,3856,Yellow,19.54690185624,['not assigned.unknown'],LOC_Os07g38630,4.64314669728573,1.98E-16,Up,1.90724386981689,0.002364326895542,Up,1.81460194464006,0.003629901702428,Up,0.448364473749396,0.589170343574808,,1.44667255381379,0.013983541640447,Up,0.250827714632111,0.814178489068774,
45,Os03g0114100,Conserved hypothetical protein.,,,,,0.906563011027899,12809,Grey,0.371977079173931,['not assigned.unknown'],LOC_Os03g02300,6.0515299294064,3.04E-06,Up,4.46271377568236,0.000938456968415,Up,4.08803130454884,0.002510545013418,Up,1.59986528136762,0.33903155646757,,1.10604693428636,0.52169423824427,,0.242612464712959,0.929878238571192,
