id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr
20,Os03g0223000,,,38.9584409085474,1293,lightGreen,3.7111793998122,"Similar to atypical receptor-like kinase MARK., Similar to Atypical receptor-like kinase MARK.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['not assigned.unknown'],"LOC_Os03g12238, LOC_Os03g12250",-0.748971715750057,0.169342509703258,,-1.47881437560638,0.001011679233887,Down,-1.64245772321506,0.000143368985391,Down,2.99721394039377,1.71E-15,Up
21,Os04g0618200,,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways",52.7779920452639,708,lightYellow,11.0709040744343,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)",['cell wall.precursor synthesis.MUR4'],LOC_Os04g52730,1.81798764932014,6.38E-05,Up,1.9990770548753,5.77E-06,Up,1.15770190185676,0.363774978787795,,-0.96506714965494,0.126084283241169,
22,Os01g0872800,,,21.4232373052461,3150,Brown,13.4904896666934,"Similar to 3-phosphoinositide-dependent protein kinase-1 (Fragment)., Similar to 3-phosphoinositide dependent protein kinase 1.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['protein.postranslational modification'],LOC_Os01g65230,-0.818189236815971,0.007330772148504,,-1.05347882258652,0.000274481170725,Down,-0.685901021284819,0.020265446852957,,2.06187616534003,2.80E-07,Up
23,Os03g0439700,,,4.11326461028232,9588,Green,1.37844431274024,Protein of unknown function DUF1230 family protein.,,['not assigned.unknown'],LOC_Os03g32490,-0.720026661683357,0.718051764637296,,-2.57573223990503,0.054601220750582,,-3.32412159305057,0.008453060244888,Down,-5.12494323171371,0.000170520721234,Down
24,Os08g0530400,,"Sulfur metabolism, Metabolic pathways",9.53019317351818,6483,Brown,5.9223243698674,"Moco containing protein (Moco containing protein(OsMCP))., Similar to sulfite oxidase.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872)",['S-assimilation.sulfite oxidase'],LOC_Os08g41830,-0.525887539636466,0.16059559549833,,-0.607441607122393,0.066768142813694,,-1.10791988986356,0.000190586715776,Down,-1.28032592800398,1.20E-05,Down
25,Os03g0200200,,,2.16020131402277,11300,Blue,1.57900780625634,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os03g10320,0.942774224320309,0.453861849698367,,1.34497134571721,0.179542588292567,,2.52259083462499,0.00261389374,Up,2.54106315492965,0.002412188943643,Up
26,Os01g0799900,,,4.0120108308903,9658,lightGreen,1.11141848351309,Similar to Latex-abundant protein.,"Biological Process: proteolysis (GO:0006508), Molecular Function: cysteine-type endopeptidase activity (GO:0004197)",['protein.degradation'],LOC_Os01g58580,-0.530713982504732,0.227978913597172,,-1.16937796623582,0.000768724363351,Down,-1.80279230895356,3.46E-08,Down,0.736713420947156,0.005200208420837,
27,Os03g0109900,,,32.3812075616303,1779,Brown,27.8065833747607,"Peptidase, trypsin-like serine and cysteine domain containing protein., Hypothetical conserved gene., Peptidase cysteine/serine, trypsin-like domain containing protein.",Molecular Function: catalytic activity (GO:0003824),['not assigned.unknown'],LOC_Os03g01940,-0.792217663788145,0.18350270777397,,-1.97212839094242,2.09E-05,Down,-1.66872009449486,0.000358855740351,Down,-0.867957409077222,0.197084272973336,
28,Os02g0590700,,,6.10497833445448,8218,royalBlue,2.21146107393032,"Hypothetical gene., Conserved hypothetical protein.",,,None,1.91011350533505,1.26E-05,Up,1.72525435551322,0.000150015662055,Up,2.26446019393701,0.00082365597485,Up,3.93871923515708,0.06601542237381,
29,Os06g0692100,,,9.67130804868289,6424,Brown,6.56368711519379,"Protein kinase, catalytic domain domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['signalling.receptor kinases.misc'],LOC_Os06g47700,-2.47094417894997,9.22E-13,Down,-2.57314712758953,8.90E-13,Down,-0.893116142202513,0.165723678980127,,4.69187011558179,0.008541770104663,Up
30,Os12g0204600,,,4.05758177472984,9622,Grey,0.646915866369216,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",['stress.biotic.PR-proteins'],LOC_Os12g10330,-0.24056742657172,0.711978542326036,,-0.873076763791068,0.044209980160719,,-1.41513451114461,0.000311266680914,Down,-1.42575434935874,0.000302638737116,Down
31,Os10g0518800,,,17.1046862720932,4040,Black,8.76471231206157,Serine/threonine protein kinase domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['protein.postranslational modification'],LOC_Os10g37480,0.8355889385575,0.001355371121645,,1.33745917652049,2.14E-08,Up,1.13886289369835,2.26E-06,Up,1.18252799326446,0.07643962771177,
32,Os08g0307601,,,22.5839805249074,2959,Blue,17.0033671220235,"Similar to cDNA clone:002-114-B06, full insert sequence.",,,None,2.81702086564507,0.333389189108009,,5.25109609608797,0.017261442575432,Up,6.0992776091877,0.004010451063195,Up,-3.53694508136317,5.33E-07,Down
33,Os02g0817600,,Plant hormone signal transduction,26.5005793867131,2397,Green,13.959151676566,"AUX/IAA protein family protein., Similar to Auxin-responsive protein IAA10.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983)",['RNA.regulation of transcription.Aux/IAA family'],LOC_Os02g57250,-0.205176998508933,0.836039339688402,,-0.789582456840717,0.218951019311394,,-1.18434639037178,0.04306317838465,Down,-1.47483938993316,0.009652485050875,Down
34,Os05g0561600,,,6.14978798248027,8187,lightYellow,3.13697429733424,Protein of unknown function DUF1421 domain containing protein.,,['cell wall.cell wall proteins.HRGP'],LOC_Os05g48760,1.5105345012344,4.48E-06,Up,0.861738530820883,0.014977932414009,,2.71637259496127,1.09E-08,Up,2.22907240792352,4.99E-06,Up
35,Os01g0327100,,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",15.8569662160092,4390,Red,11.5024232245334,"Haem peroxidase family protein., Similar to Peroxidase 8.","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",['misc.peroxidases'],LOC_Os01g22352,0.286684119864115,0.851436007513356,,1.02317049323561,0.29568603353085,,1.84169337243667,0.029131083053576,Up,2.07796788210546,0.011677890272012,Up
36,Os11g0610600,,,1.30096002078987,12234,Grey,0.159063648613971,"Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os11g39640,-1.62889842795707,0.101687224698076,,-2.07227903079135,0.03969824381841,Down,-2.52336213217338,0.005342273620439,Down,3.04588232752664,4.06E-12,Up
37,Os06g0597000,,Plant hormone signal transduction,25.4327467002193,2537,GreenYellow,6.69156129686434,"Similar to Auxin responsive protein IAA-Re., Similar to Auxin-responsive protein IAA23.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)",['RNA.regulation of transcription.Aux/IAA family'],LOC_Os06g39590,2.9696654405755,1.33E-11,Up,2.41753789268382,7.86E-08,Up,1.52822511803888,0.00075269270847,Up,1.21189174393849,0.104798389955832,
38,Os02g0489800,,,7.31773365001563,7525,GreenYellow,2.42569648016213,Similar to SKIP interacting protein 18 (Fragment).,,['cell.organisation'],LOC_Os02g28850,1.9233264968794,0.005393869501935,Up,2.40015208388203,0.000188346050719,Up,0.716378782484563,0.147002537292579,,0.877188226778937,0.000777391572076,
39,Os02g0827200,,,23.3296398626558,2846,GreenYellow,7.99807943108383,Similar to Sucrose transporter.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",['transport.sugars.sucrose'],LOC_Os02g58080,2.45184091601627,3.73E-21,Up,1.66397103503793,9.45E-10,Up,1.83931565819385,5.79E-09,Up,-1.01243936801946,0.270103302609351,
40,Os11g0244100,,,4.60819396101014,9194,Blue,2.54960238977836,Transferase family protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",['secondary metabolism.phenylpropanoids'],LOC_Os11g13970,-1.11694095604626,0.51396005245468,,1.33153023479785,0.24891575792496,,2.42085667617164,0.012222791359733,Up,2.47270205875583,0.010186021885961,Up
41,Os05g0100750,,,6.47674157258195,8002,Brown,3.31856126608559,Hypothetical protein.,,,None,-0.835454526607881,0.142301844683331,,-1.64989879547299,0.00222579101095,Down,-1.07588341394996,0.028028288168544,Down,0.092629390544663,0.883107469648893,
42,Os06g0111600,,,7.35397390900534,7510,LightCyan,2.08897767793407,AMP-dependent synthetase/ligase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: acyl carrier activity (GO:0000036), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphopantetheine binding (GO:0031177)",['lipid metabolism.FA synthesis and FA elongation.acyl coa ligase'],LOC_Os06g02160,0.596481018239042,0.240603016580173,,1.26690007837314,0.001280812236989,Up,1.34512059567829,0.000422981448536,Up,0.125298625296476,0.887203036604004,
43,Os03g0129900,,"Oxidative phosphorylation, Metabolic pathways",21.6190829727042,3110,lightGreen,5.28125738711697,NADH-ubiquinone oxidoreductase B18 subunit family protein.,"Cellular Component: mitochondrion (GO:0005739), Molecular Function: NADH dehydrogenase activity (GO:0003954), Molecular Function: NADH dehydrogenase (ubiquinone) activity (GO:0008137)",['mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear'],LOC_Os03g03770,-0.295986036940693,0.549308349449709,,-1.07028475908831,0.001971480052292,Down,-1.2448321615381,0.000124640936546,Down,-0.080807832301347,0.873289669821625,
44,Os02g0205400,,RNA transport,10.1645287995639,6256,Yellow,2.5570452854075,"WD40 repeat, region domain containing protein.",Molecular Function: protein binding (GO:0005515),['protein.postranslational modification'],LOC_Os02g11060,-0.595703342932372,0.363162633063527,,-0.984175981341088,0.073511198688514,,-1.03235494849568,0.042295705553528,Down,-1.03369737053135,0.043415936448865,Down
45,Os10g0208500,,,17.818328748263,3868,Grey60,8.71506302498267,"Hypothetical protein., Oxoglutarate/iron-dependent oxygenase domain containing protein., Hypothetical conserved gene.",", Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)",['not assigned.unknown'],LOC_Os10g14180,0.402580499393094,0.746994561920053,,3.05738234579085,1.24E-05,Up,3.44917976906223,5.24E-07,Up,-1.86285659960691,7.40E-05,Down
46,Os07g0170200,,,4.84613569108328,9027,Red,2.98785495271371,Similar to predicted protein.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: endonuclease activity (GO:0004519)",['DNA.synthesis/chromatin structure'],LOC_Os07g07480,0.6306889133588,0.76224480244887,,1.09562376638705,0.472335345431239,,2.47148251872584,0.036603986980589,Up,2.50889517115239,0.032988435910279,Up
47,Os07g0573900,,,16.5034551580086,4220,Magenta,9.69850343706845,Hypothetical conserved gene.,,['not assigned.unknown'],LOC_Os07g38630,3.22017542390832,1.24E-05,Up,3.08852567641792,2.32E-05,Up,1.6568357341279,0.03210675572269,Up,-2.00552350547203,4.74E-05,Down
48,Os06g0114650,,"Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism",6.82439848391618,7798,Blue,4.8935145530566,Similar to predicted protein.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: shikimate kinase activity (GO:0004765), Molecular Function: ATP binding (GO:0005524), Molecular Function: kinase activity (GO:0016301)",,None,-0.514829757875699,0.749788126701518,,2.85415234854396,7.37E-05,Up,3.05654976457074,8.46E-06,Up,-1.20799307855289,0.018979354467757,Down
49,Os11g0660000,,,0.703620760033222,12967,Turquoise,0.458707081159187,Sodium/calcium exchanger membrane region domain containing protein.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",['transport.metal'],LOC_Os11g43860,-0.932459838541481,0.085994389895388,,-1.15793814723761,0.020961726605285,Down,-1.59210943893906,0.00057854206093,Down,-0.320991168706158,0.618634427631083,
50,Os02g0246900,,,0.201748702816608,13561,Grey,0.022235341934681,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os02g14890,2.32565050199735,0.023281971945448,Up,2.17258857805233,0.032918964884229,Up,1.26518524912656,0.017149072238093,Up,1.37448853890089,8.50E-06,Up
51,Os06g0134800,,,16.4422801801785,4233,Tan,9.05117315404315,"Folate-binding, YgfZ domain containing protein.","Biological Process: glycine catabolic process (GO:0006546), Cellular Component: cytoplasm (GO:0005737), Molecular Function: aminomethyltransferase activity (GO:0004047)",['amino acid metabolism.degradation.serine-glycine-cysteine group.glycine'],LOC_Os06g04380,1.6256824564179,9.47E-07,Up,1.43431664835298,2.59E-05,Up,2.57599246287888,0.00034458597327,Up,1.20076657622057,0.034292252337032,Up
52,Os01g0949800,,Glutathione metabolism,3.40950624553636,10138,Brown,2.90717325125556,Similar to Glutathione S-transferase GST 28 (EC 2.5.1.18) (Fragment).,Molecular Function: protein binding (GO:0005515),['misc.glutathione S transferases'],LOC_Os01g72140,-1.00073561970804,0.255637453220716,,-1.81428449882733,0.009027258281931,Down,-3.62024302258637,1.15E-08,Down,-2.26690761027638,0.009726356043343,Down
53,Os01g0846400,,,23.3908307132832,2837,Black,9.08614973529481,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g62770,7.6171538600291,6.31E-18,Up,7.41820644523881,6.75E-17,Up,-4.24574307943181,1.21E-16,Down,2.11218455811213,0.230777395937583,
54,Os11g0133800,,,11.8555110567964,5629,Blue,4.04272368038268,Similar to zinc finger (DHHC type) family protein.,Molecular Function: zinc ion binding (GO:0008270),['RNA.regulation of transcription.unclassified'],LOC_Os11g03910,0.223555845687689,0.793442819718677,,1.16501792979381,0.02205842016783,Up,1.29602486452414,0.00754918849914,Up,2.45759077893042,0.000108511880373,Up
55,Os02g0448400,,,73.8146363241953,286,Turquoise,66.7417921943126,Similar to Synaptotagmin C.,Molecular Function: protein binding (GO:0005515),['signalling.calcium'],LOC_Os02g25060,-0.431454102726844,0.649941925135826,,-0.850147627593963,0.24826207111821,,-1.67755311375008,0.009406246085546,Down,-1.78529339470366,0.007033986746477,Down
56,Os04g0176200,,,1.43952499823318,12086,Brown,0.642930312798325,Similar to N-methyltransferase.,Molecular Function: O-methyltransferase activity (GO:0008171),['misc.O-methyl transferases'],"LOC_Os04g09670, LOC_Os04g09680",-1.05577100314679,0.191492422762643,,-2.02191101773733,0.008734791919885,Down,-2.16178719929317,0.00165767850047,Down,0.618396746719052,0.086004896207606,
57,Os12g0103000,,,12.0060389805588,5568,Brown,6.0652955919275,EF-Hand type domain containing protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: mitochondrial inner membrane (GO:0005743), Molecular Function: binding (GO:0005488), Molecular Function: calcium ion binding (GO:0005509)",['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os12g01240,-1.17604432911375,0.006332235339534,Down,-1.27220741343494,0.003674754518234,Down,3.94403895639137,1.52E-07,Up,-0.318987704721567,0.432301773944315,
58,Os02g0796750,,,28.0963769659684,2202,Blue,14.444294091816,Non-protein coding transcript.,,,None,-0.7433180191044,0.197404036366774,,1.03331961044264,0.02075085484914,Up,1.10863473033173,0.008289219717311,Up,1.91948719594551,0.000127341117106,Up
59,Os04g0433200,,,59.5256919619996,525,Blue,50.2618261002405,Similar to H0315E07.10 protein.,,['not assigned.unknown'],LOC_Os04g35380,0.133876091984805,0.811344390798155,,1.300247090769,1.72E-05,Up,1.32088865862112,8.51E-06,Up,0.616025632510155,0.544535374875518,
